T (K),P (kPa),Vapor fract
60,10116,0.0
66,10116,0.0
72,10116,0.0
78,10116,0.0
84,10116,0.0
90,10116,0.0
96,10116,0.0
0,10235,0.0
6,10235,0.0
12,10235,0.0
18,10235,0.0
24,10235,0.0
30,10235,0.0
36,10235,0.0
42,10235,0.0
48,10235,0.0
54,10235,0.0
60,10235,0.0
66,10235,0.0
72,10235,0.0
78,10235,0.0
84,10235,0.0
90,10235,0.0
96,10235,0.0
0,10354,0.0
6,10354,0.0
12,10354,0.0
18,10354,0.0
24,10354,0.0
30,10354,0.0
36,10354,0.0
42,10354,0.0
48,10354,0.0
54,10354,0.0
60,10354,0.0
66,10354,0.0
72,10354,0.0
78,10354,0.0
84,10354,0.0
90,10354,0.0
96,10354,0.0
0,10473,0.0
6,10473,0.0
12,10473,0.0
18,10473,0.0
24,10473,0.0
30,10473,0.0
36,10473,0.0
42,10473,0.0
48,10473,0.0
54,10473,0.0
60,10473,0.0
66,10473,0.0
72,10473,0.0
78,10473,0.0
84,10473,0.0
90,10473,0.0
96,10473,0.0
0,10592,0.0
6,10592,0.0
12,10592,0.0
18,10592,0.0
24,10592,0.0
30,10592,0.0
36,10592,0.0
42,10592,0.0
48,10592,0.0
54,10592,0.0
60,10592,0.0
66,10592,0.0
72,10592,0.0
78,10592,0.0
84,10592,0.0
90,10592,0.0
96,10592,0.0
0,10711,0.0
6,10711,0.0
12,10711,0.0
18,10711,0.0
24,10711,0.0
30,10711,0.0
36,10711,0.0
42,10711,0.0
48,10711,0.0
54,10711,0.0
60,10711,0.0
66,10711,0.0
72,10711,0.0
78,10711,0.0
84,10711,0.0
90,10711,0.0
96,10711,0.0
0,10830,0.0
6,10830,0.0
12,10830,0.0
18,10830,0.0
24,10830,0.0
30,10830,0.0
36,10830,0.0
42,10830,0.0
48,10830,0.0
54,10830,0.0
60,10830,0.0
66,10830,0.0
72,10830,0.0
78,10830,0.0
84,10830,0.0
90,10830,0.0
96,10830,0.0
0,10949,0.0
6,10949,0.0
12,10949,0.0
18,10949,0.0
24,10949,0.0
30,10949,0.0
36,10949,0.0
42,10949,0.0
48,10949,0.0
54,10949,0.0
60,10949,0.0
66,10949,0.0
72,10949,0.0
78,10949,0.0
84,10949,0.0
90,10949,0.0
96,10949,0.0
0,11068,0.0
6,11068,0.0
12,11068,0.0
18,11068,0.0
24,11068,0.0
30,11068,0.0
36,11068,0.0
42,11068,0.0
48,11068,0.0
54,11068,0.0
60,11068,0.0
66,11068,0.0
72,11068,0.0
78,11068,0.0
84,11068,0.0
90,11068,0.0
96,11068,0.0
0,11187,0.0
6,11187,0.0
12,11187,0.0
18,11187,0.0
24,11187,0.0
30,11187,0.0
36,11187,0.0
42,11187,0.0
48,11187,0.0
54,11187,0.0
60,11187,0.0
66,11187,0.0
72,11187,0.0
78,11187,0.0
84,11187,0.0
90,11187,0.0
96,11187,0.0
0,11306,0.0
6,11306,0.0
12,11306,0.0
18,11306,0.0
24,11306,0.0
30,11306,0.0
36,11306,0.0
42,11306,0.0
48,11306,0.0
54,11306,0.0
60,11306,0.0
66,11306,0.0
72,11306,0.0
78,11306,0.0
84,11306,0.0
90,11306,0.0
96,11306,0.0
0,11425,0.0
6,11425,0.0
12,11425,0.0
18,11425,0.0
24,11425,0.0
30,11425,0.0
36,11425,0.0
42,11425,0.0
48,11425,0.0
54,11425,0.0
60,11425,0.0
66,11425,0.0
72,11425,0.0
78,11425,0.0
84,11425,0.0
90,11425,0.0
96,11425,0.0
0,11544,0.0
6,11544,0.0
12,11544,0.0
18,11544,0.0
24,11544,0.0
30,11544,0.0
36,11544,0.0
42,11544,0.0
48,11544,0.0
54,11544,0.0
60,11544,0.0
66,11544,0.0
72,11544,0.0
78,11544,0.0
84,11544,0.0
90,11544,0.0
96,11544,0.0
0,11663,0.0
6,11663,0.0
12,11663,0.0
18,11663,0.0
24,11663,0.0
30,11663,0.0
36,11663,0.0
42,11663,0.0
48,11663,0.0
54,11663,0.0
60,11663,0.0
66,11663,0.0
72,11663,0.0
78,11663,0.0
84,11663,0.0
90,11663,0.0
96,11663,0.0
