name,alt_name,t_c,p_c,v_c,acc,mm,hf,c1,c2,c3,c4,c5,eq,cg1,cg2,cg3,cg4,cg5,eqg
2-Ethyl butanoic acid,,655,34.1,0.389,0.6326,,,,,,,,,,,,,,
Ethyl butyrate,,571,29.5,0.403,0.4011,,,,,,,,,,,,,,
Ethylcyclohexane,,609.15,30.4,0.43,0.2455,,,,,,,,,,,,,,
Ethylcyclopentane,,569.5,34,0.375,0.2701,,,,,,,,,,,,,,
Ethylene,,282.34,50.41,0.131,0.0862,0.028,52510,247390,-4428,40.936,-0.1697,0.00026816,1,33380,94790,1596,55100,740.8,1
Ethylenediamine,,593,62.9,0.264,0.4724,,,,,,,,,,,,,,
Ethylene glycol,,720,82,0.191,0.5068,0.062,-392200,35540,436.78,-0.18486,0,0,1,63012,145840,1673,97296,773.65,1
Ethyleneimine,,537,68.5,0.173,0.2007,,,,,,,,,,,,,,
Ethylene oxide,"C2H4O,ethylene#oxide",469.15,71.9,0.140296,0.1974,,,,,,,,,,,,,,
Ethyl formate,,508.4,47.4,0.229,0.2847,,,,,,,,,,,,,,
2-Ethyl hexanoic acid,,674.6,27.78,0.528,0.8067,,,,,,,,,,,,,,
Ethylhexyl ether,,583,24.6,0.487,0.4944,,,,,,,,,,,,,,
Ethylisopropyl ether,,489,34.1,0.329,0.3056,,,,,,,,,,,,,,
Ethylisopropyl ketone,,567,33.2,0.369,0.3891,,,,,,,,,,,,,,
Ethyl mercaptan,,499.15,54.9,0.207,0.1878,,,,,,,,,,,,,,
Ethyl propionate,,546,33.62,0.345,0.3944,,,,,,,,,,,,,,
Ethylpropyl ether,,500.23,33.7,0.339,0.3473,,,,,,,,,,,,,,
Ethyltrichlorosilane,,559.95,33.3,0.414,0.2691,,,,,,,,,,,,,,
Fluorine,F,144.12,51.72,0.066547,0.053,,,,,,,,,,,,,,
Fluorobenzene,,560.09,45.51,0.269,0.2472,,,,,,,,,,,,,,
Fluoroethane,,375.31,50.28,0.164,0.22,,,,,,,,,,,,,,
Fluoromethane,CH3F,317.42,58.75,0.113,0.198,,,,,,,,,,,,,,
Formaldehyde,,408,65.9,0.115,0.2818,,,,,,,,,,,,,,
Formamide,,771,78,0.163,0.4124,,,,,,,,,,,,,,
Formic acid,HCOOH,588,58.1,0.125,0.3173,,,,,,,,,,,,,,
Furan,,490.15,55,0.218,0.2015,,,,,,,,,,,,,,
Helium-4,He,5.2,2.275,0.0573,-0.39,0.004,0,387220,-465570,211800,-42494,3212.9,1,20786,0,0,0,0,2
Heptadecane,,736,13.4,1.11,0.7697,,,,,,,,,,,,,,
Heptanal,,616.8,31.6,0.434,0.4279,,,,,,,,,,,,,,
Heptane,"C7H16,n-heptane",540.2,27.4,0.428,0.3495,0.1,-187650,61.26,314410,1824.6,-2547.9,0,2,120150,400100,1676.6,274000,756.4,1
Heptanoic acid,,677.3,30.43,0.466,0.7564,,,,,,,,,,,,,,
1-Heptanol,,632.3,30.85,0.444,0.5621,,,,,,,,,,,,,,
2-Heptanol,,608.3,30.01,0.447,0.5628,,,,,,,,,,,,,,
3-Heptanone,,606.6,29.2,0.433,0.4076,,,,,,,,,,,,,,
2-Heptanone,,611.4,29.4,0.434,0.419,,,,,,,,,,,,,,
1-Heptene,"C7H14,1-heptene",537.4,29.2,0.402,0.3432,,,,,,,,,,,,,,
